127.0.0.1 - - [22/Dec/2016:17:14:19 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:14:22 +0800] "GET /libruary/ HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:14:23 +0800] "GET /libruary/Images/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:14:24 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:14:24 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:14:32 +0800] "POST /libruary/manager?action=login HTTP/1.1" 200 6216
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:14:32 +0800] "GET /libruary/Images/top_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:14:37 +0800] "GET /libruary/main.jsp HTTP/1.1" 200 6216
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:14:44 +0800] "GET /libruary/.Images/item_out.gif HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:14:44 +0800] "GET /libruary/.Images/item_out.gif HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:14:45 +0800] "GET /libruary/.Images/item_out.gif HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:14:45 +0800] "GET /libruary/parameter?action=parameterQuery HTTP/1.1" 200 4974
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:27:58 +0800] "GET /libruary/.Images/item_out.gif HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:29:21 +0800] "GET /libruary/.Images/item_out.gif HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:29:26 +0800] "GET /libruary/.Images/item_out.gif HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:29:58 +0800] "GET /libruary/.Images/item_out.gif HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:32:00 +0800] "GET /libruary/.Images/item_out.gif HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:32:00 +0800] "GET /libruary/.Images/item_out.gif HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:32:26 +0800] "GET /libruary/.Images/item_out.gif HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:32:26 +0800] "GET /libruary/.Images/item_out.gif HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:32:33 +0800] "GET /libruary/.Images/item_out.gif HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Dec/2016:17:32:40 +0800] "GET /libruary/.Images/item_out.gif HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [22/Dec/2016:19:09:51 +0800] "GET /libruary/main.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2016:19:09:51 +0800] "GET /libruary/login.jsp HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [22/Dec/2016:19:09:52 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Dec/2016:19:09:52 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Dec/2016:19:09:59 +0800] "POST /libruary/manager?action=login HTTP/1.1" 200 6216
